Region,Source,Year,Data,Unit
BC,Coal,2011,0,GW.h
BC,Natural Gas,2011,3224.6,GW.h
BC,Oil and Diesel,2011,91.2,GW.h
BC,Hydro,2012,65141,GW.h
BC,Wind,2012,508,GW.h
BC,Biomass,2012,4072.6109,GW.h
BC,Solar,2012,0,GW.h
BC,Nuclear,2012,0,GW.h
BC,Coal,2012,0,GW.h
BC,Natural Gas,2012,3388.8,GW.h
BC,Oil and Diesel,2012,45.3,GW.h
BC,Hydro,2013,59223,GW.h
BC,Wind,2013,860,GW.h
BC,Biomass,2013,4130.656,GW.h
BC,Solar,2013,0,GW.h
BC,Nuclear,2013,0,GW.h
BC,Coal,2013,0,GW.h
BC,Natural Gas,2013,1722,GW.h
BC,Oil and Diesel,2013,101.5,GW.h
BC,Hydro,2014,57573,GW.h
BC,Wind,2014,1071,GW.h
BC,Biomass,2014,4387.973,GW.h
BC,Solar,2014,0,GW.h
BC,Nuclear,2014,0,GW.h
BC,Coal,2014,0,GW.h
BC,Natural Gas,2014,3151,GW.h
BC,Oil and Diesel,2014,203.6,GW.h
BC,Hydro,2015,60344.08,GW.h
BC,Wind,2015,1206,GW.h
BC,Biomass,2015,6738.1678,GW.h
BC,Solar,2015,0,GW.h
BC,Nuclear,2015,0,GW.h
BC,Coal,2015,0,GW.h
BC,Natural Gas,2015,3305,GW.h
BC,Oil and Diesel,2015,266.2,GW.h
BC,Hydro,2016,65524.308,GW.h
BC,Wind,2016,1058.948,GW.h
BC,Biomass,2016,6726.9668,GW.h
BC,Solar,2016,0,GW.h
BC,Nuclear,2016,0,GW.h
BC,Coal,2016,0,GW.h
BC,Natural Gas,2016,1115.141,GW.h
BC,Oil and Diesel,2016,56.498,GW.h
AB,Hydro,2005,2316,GW.h
AB,Wind,2005,741,GW.h
AB,Biomass,2005,1725.168,GW.h
AB,Solar,2005,0,GW.h
AB,Nuclear,2005,0,GW.h
AB,Coal,2005,43986,GW.h
AB,Natural Gas,2005,19657.1375,GW.h
AB,Oil and Diesel,2005,16.8441,GW.h
AB,Hydro,2006,1966,GW.h
AB,Wind,2006,921,GW.h
AB,Biomass,2006,1855.169,GW.h
AB,Solar,2006,0,GW.h
AB,Nuclear,2006,0,GW.h
AB,Coal,2006,44531,GW.h
AB,Natural Gas,2006,22493.1375,GW.h
AB,Oil and Diesel,2006,16.8441,GW.h
AB,Hydro,2007,2113,GW.h
AB,Wind,2007,1430,GW.h
AB,Biomass,2007,1870.362,GW.h
AB,Solar,2007,0,GW.h
AB,Nuclear,2007,0,GW.h
AB,Coal,2007,44278,GW.h
AB,Natural Gas,2007,22834.1375,GW.h
AB,Oil and Diesel,2007,16.8441,GW.h
AB,Hydro,2008,2150,GW.h
AB,Wind,2008,1473,GW.h
AB,Biomass,2008,1917.388,GW.h
AB,Solar,2008,0,GW.h
AB,Nuclear,2008,0,GW.h
AB,Coal,2008,42419,GW.h
AB,Natural Gas,2008,23679.719,GW.h
AB,Oil and Diesel,2008,15.3551,GW.h
AB,Hydro,2009,1695,GW.h
AB,Wind,2009,1558,GW.h
AB,Biomass,2009,1861.5,GW.h
AB,Solar,2009,0,GW.h
AB,Nuclear,2009,0,GW.h
AB,Coal,2009,41231,GW.h
AB,Natural Gas,2009,25814.4152,GW.h
AB,Oil and Diesel,2009,7.074,GW.h
AB,Hydro,2010,1620,GW.h
AB,Wind,2010,1629,GW.h
AB,Biomass,2010,1908.777,GW.h
AB,Solar,2010,0,GW.h
AB,Nuclear,2010,0,GW.h
AB,Coal,2010,41120,GW.h
AB,Natural Gas,2010,27278.8772,GW.h
